Procode,Deprivation,Patients,Attendances,FTE staff,Diagnosis,Night beds,Day beds,Age   0-15,Age   60-74,No procedure,Operating Expenses,Urban,Sites,Sea distance,MFF payment index,Degree of specialisation,StudentStaff,CCGs,Non-type 1 AE department,Absence Rate,DTOCs
R0A,31.1,618470,2741425,19128.3,0.18,0.9,0.7,0.17,0.19,0.41,-1642518,0.96,155,24,1.16,678526.86,0.02,198,1,0.05,2632
R1A,17.2,58415,191680,2978.8,0.17,0.9,1,0.13,0.24,0.89,-168993,0.69,357,32.7,1.04,-13163.65,0.01,68,0,0.05,1041
R1C,22.2,43455,145315,2824.1,0.12,0.9,    ,0.06,0.24,0.18,-189949,0.97,451,3.7,1.09,-4204.8,0,70,0,0.04,401
R1D,20.2,47190,103850,1231.7,0.40,    ,    ,0.08,0.26,0.08,-78173,0.65,299,40.4,1.03,-8511.48,0,183,0,0.05,59
R1F,21,74445,313915,2671.9,0.21,0.9,0.8,0.08,0.28,0.35,-202947,0.66,60,4,1.05,-34549.7,0.02,196,1,0.04,371
R1H,34.6,666390,3109155,14741.8,0.21,0.9,0.9,0.13,0.16,0.43,-1603421,0.96,131,21.1,1.21,482078.48,0.03,197,1,0.04,1505
R1J,13.7,61375,86575,2069.9,0.17,    ,1,0.22,0.15,0.67,-112530,0.49,139,13.2,1.06,-8633.51,0,196,0,0.04,33
R1K,23.5,303560,1212960,7681.7,0.25,0.9,1,0.08,0.21,0.48,-766137,0.99,90,33,1.2,200036.91,0.04,199,1,0.03,794
R1L,22.4,11425,21690,4309.9,0.53,1,    ,0,0.17,1,-305336,0.89,345,8.2,1.1,1895.13,0.01,67,0,0.05,522
RA2,9.3,160250,676170,3674,0.25,0.8,0.8,0.1,0.27,0.34,-369263,0.64,98,30.5,1.16,-2123.12,0.03,197,1,0.03,459
RA3,20.2,69515,308625,1452.4,0.21,1,1,0.12,0.25,0.47,-118150,0.76,13,5.9,1.05,-31351.44,0.05,187,1,0.04,205
RA4,15,89630,427460,2029.3,0.24,0.9,1,0.1,0.25,0.43,-171852,0.37,20,17.6,1.04,-32935.01,0.03,193,1,0.03,120
RA7,20.5,327355,1400075,8093.9,0.18,0.9,0.7,0.2,0.2,0.36,-677307,0.86,82,6.7,1.08,105688.96,0.02,198,1,0.04,711
RA9,22.1,187880,671810,5168.9,0.22,0.9,0.7,0.1,0.25,0.49,-432577,0.72,133,3.9,1.01,9149.72,0.03,198,1,0.04,442
RAE,36,219360,816420,5275.8,0.22,0.9,0.8,0.15,0.19,0.55,-418609,0.94,74,46.3,1.03,92579.94,0.03,196,1,0.05,281
RAJ,19.2,191365,858735,3902.1,0.18,0.9,1,0.13,0.24,0.39,-335974,0.93,61,2.2,1.08,27225.78,0.03,195,1,0.04,221
RAL,21.3,497790,2550540,8575.7,0.22,0.9,0.6,0.1,0.21,0.4,-1102613,0.95,101,26.1,1.22,427352.48,0.03,197,1,0.03,641
RAN,19,49765,174730,1460.4,0.01,0.6,    ,0.13,0.24,0.03,-183993,0.88,3,33.6,1.18,-4620.67,0,199,0,0.03,108
RAP,34.2,204225,915990,3069.2,0.19,0.9,0.8,0.12,0.18,0.44,-316931,0.97,38,23.7,1.2,1810.73,0.05,194,1,0.04,179
RAS,20.7,170275,588495,2948.3,0.23,0.8,0.8,0.13,0.18,0.39,-275789,0.95,25,38.3,1.18,-21623.11,0.03,197,1,0.04,175
RAT,28.1,96125,111840,5138.9,0.24,0.9,    ,0.23,0.08,1,-386157,0.93,323,11.5,1.17,-3987.5,0.01,195,0,0.04,325
RAX,11.8,214330,981405,2952.4,0.20,0.9,1,0.14,0.19,0.49,-279585,0.98,95,30.7,1.21,7124.82,0.03,196,1,0.03,304
