year,procode,deprivation_peers,patients_peers,attendances_peers,fte_staff_peers,diagnosis_peers,night_beds_peers,day_beds_peers,age_0_15_peers,age_60_74_peers,no_procedure_peers,operating_expenses_peers,urban_peers,sites_peers,sea_distance_peers,mff_payment_index_peers,degree_of_specialisation_peers,student_staff_peers,cc_gs_peers,non_type_1_ae_department_peers,absence_rate_peers,dto_cs_peers,name,postcode,open_date,close_date,MH_trust_flag,catchment_cat,age_00_04_cat,age_05_14_cat,age_15_24_cat,age_25_64_cat,age_65_74_cat,age_75_plus_cat,sex_m_cat,patients_admitted_cat
2011,R0A,31.1,618470,2741425,19128.3,0.18,0.9,0.7,0.17,0.19,0.41,-1642518,0.96,155,24,1.16,678526.86,0.02,198,1,0.05,2632,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,M13 9WL,20171001,NA,0,910480,0.080956199,0.155747518,0.162201256,0.477607416,0.067312846,0.056174765,0.512063966,333596
2012,R0A,31.1,618470,2741425,19128.3,0.18,0.9,0.7,0.17,0.19,0.41,-1642518,0.96,155,24,1.16,678526.86,0.02,198,1,0.05,2632,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,M13 9WL,20171001,NA,0,941422,0.078417543,0.154180591,0.161263493,0.479945232,0.070007924,0.056185218,0.510342864,354546
2013,R0A,31.1,618470,2741425,19128.3,0.18,0.9,0.7,0.17,0.19,0.41,-1642518,0.96,155,24,1.16,678526.86,0.02,198,1,0.05,2632,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,M13 9WL,20171001,NA,0,966913,0.079976172,0.156138143,0.156303618,0.480560299,0.071425247,0.055596522,0.509179213,380699
2014,R0A,31.1,618470,2741425,19128.3,0.18,0.9,0.7,0.17,0.19,0.41,-1642518,0.96,155,24,1.16,678526.86,0.02,198,1,0.05,2632,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,M13 9WL,20171001,NA,0,994697,0.081523318,0.156374253,0.154274116,0.481091227,0.071776631,0.054960455,0.508631272,408714
2015,R0A,31.1,618470,2741425,19128.3,0.18,0.9,0.7,0.17,0.19,0.41,-1642518,0.96,155,24,1.16,678526.86,0.02,198,1,0.05,2632,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,M13 9WL,20171001,NA,0,1016731,0.082802629,0.15933418,0.152375604,0.480312885,0.071481051,0.053693652,0.508844522,426736
2016,R0A,31.1,618470,2741425,19128.3,0.18,0.9,0.7,0.17,0.19,0.41,-1642518,0.96,155,24,1.16,678526.86,0.02,198,1,0.05,2632,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,M13 9WL,20171001,NA,0,1042509,0.081919676,0.164429276,0.150750737,0.479306174,0.07137972,0.052214417,0.50885412,437599
2017,R0A,31.1,618470,2741425,19128.3,0.18,0.9,0.7,0.17,0.19,0.41,-1642518,0.96,155,24,1.16,678526.86,0.02,198,1,0.05,2632,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,M13 9WL,20171001,NA,0,1098269,0.078478952,0.171183016,0.147742493,0.477827381,0.072749936,0.052018221,0.508473789,495823
2018,R0A,31.1,618470,2741425,19128.3,0.18,0.9,0.7,0.17,0.19,0.41,-1642518,0.96,155,24,1.16,678526.86,0.02,198,1,0.05,2632,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,M13 9WL,20171001,NA,0,1110826,0.076143338,0.175515337,0.147019425,0.476805548,0.072170619,0.052345732,0.508383851,498023
2019,R0A,31.1,618470,2741425,19128.3,0.18,0.9,0.7,0.17,0.19,0.41,-1642518,0.96,155,24,1.16,678526.86,0.02,198,1,0.05,2632,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,M13 9WL,20171001,NA,0,1110826,0.076143338,0.175515337,0.147019425,0.476805548,0.072170619,0.052345732,0.508383851,498023
2020,R0A,31.1,618470,2741425,19128.3,0.18,0.9,0.7,0.17,0.19,0.41,-1642518,0.96,155,24,1.16,678526.86,0.02,198,1,0.05,2632,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,M13 9WL,20171001,NA,0,1110826,0.076143338,0.175515337,0.147019425,0.476805548,0.072170619,0.052345732,0.508383851,498023
2021,R0A,31.1,618470,2741425,19128.3,0.18,0.9,0.7,0.17,0.19,0.41,-1642518,0.96,155,24,1.16,678526.86,0.02,198,1,0.05,2632,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,M13 9WL,20171001,NA,0,1110826,0.076143338,0.175515337,0.147019425,0.476805548,0.072170619,0.052345732,0.508383851,498023
2011,R0B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,SR4 7TP,20190401,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,R0B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,SR4 7TP,20190401,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,R0B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,SR4 7TP,20190401,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,R0B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,SR4 7TP,20190401,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,R0B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,SR4 7TP,20190401,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,R0B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,SR4 7TP,20190401,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,R0B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,SR4 7TP,20190401,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,R0B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,SR4 7TP,20190401,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,R0B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,SR4 7TP,20190401,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,R0B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,SR4 7TP,20190401,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,R0B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,SR4 7TP,20190401,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,R0C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PROJECT NIGHTINGALE NHS TRUST,E16 1XL,20200301,20200326,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,R0C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PROJECT NIGHTINGALE NHS TRUST,E16 1XL,20200301,20200326,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,R0C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PROJECT NIGHTINGALE NHS TRUST,E16 1XL,20200301,20200326,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,R0C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PROJECT NIGHTINGALE NHS TRUST,E16 1XL,20200301,20200326,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,R0C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PROJECT NIGHTINGALE NHS TRUST,E16 1XL,20200301,20200326,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,R0C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PROJECT NIGHTINGALE NHS TRUST,E16 1XL,20200301,20200326,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,R0C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PROJECT NIGHTINGALE NHS TRUST,E16 1XL,20200301,20200326,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,R0C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PROJECT NIGHTINGALE NHS TRUST,E16 1XL,20200301,20200326,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,R0C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PROJECT NIGHTINGALE NHS TRUST,E16 1XL,20200301,20200326,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,R0C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PROJECT NIGHTINGALE NHS TRUST,E16 1XL,20200301,20200326,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,R0C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PROJECT NIGHTINGALE NHS TRUST,E16 1XL,20200301,20200326,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,R0D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,BH15 2JB,20201001,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,R0D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,BH15 2JB,20201001,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,R0D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,BH15 2JB,20201001,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,R0D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,BH15 2JB,20201001,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,R0D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,BH15 2JB,20201001,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,R0D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,BH15 2JB,20201001,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,R0D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,BH15 2JB,20201001,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,R0D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,BH15 2JB,20201001,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,R0D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,BH15 2JB,20201001,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,R0D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,BH15 2JB,20201001,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,R0D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,BH15 2JB,20201001,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,R1A,17.2,58415,191680,2978.8,0.17,0.9,1,0.13,0.24,0.89,-168993,0.69,357,32.7,1.04,-13163.65,0.01,68,0,0.05,1041,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,WR4 9RW,20110701,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,R1A,17.2,58415,191680,2978.8,0.17,0.9,1,0.13,0.24,0.89,-168993,0.69,357,32.7,1.04,-13163.65,0.01,68,0,0.05,1041,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,WR4 9RW,20110701,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,R1A,17.2,58415,191680,2978.8,0.17,0.9,1,0.13,0.24,0.89,-168993,0.69,357,32.7,1.04,-13163.65,0.01,68,0,0.05,1041,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,WR4 9RW,20110701,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,R1A,17.2,58415,191680,2978.8,0.17,0.9,1,0.13,0.24,0.89,-168993,0.69,357,32.7,1.04,-13163.65,0.01,68,0,0.05,1041,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,WR4 9RW,20110701,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,R1A,17.2,58415,191680,2978.8,0.17,0.9,1,0.13,0.24,0.89,-168993,0.69,357,32.7,1.04,-13163.65,0.01,68,0,0.05,1041,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,WR4 9RW,20110701,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,R1A,17.2,58415,191680,2978.8,0.17,0.9,1,0.13,0.24,0.89,-168993,0.69,357,32.7,1.04,-13163.65,0.01,68,0,0.05,1041,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,WR4 9RW,20110701,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,R1A,17.2,58415,191680,2978.8,0.17,0.9,1,0.13,0.24,0.89,-168993,0.69,357,32.7,1.04,-13163.65,0.01,68,0,0.05,1041,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,WR5 1JR,20110701,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,R1A,17.2,58415,191680,2978.8,0.17,0.9,1,0.13,0.24,0.89,-168993,0.69,357,32.7,1.04,-13163.65,0.01,68,0,0.05,1041,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,WR5 1JR,20110701,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,R1A,17.2,58415,191680,2978.8,0.17,0.9,1,0.13,0.24,0.89,-168993,0.69,357,32.7,1.04,-13163.65,0.01,68,0,0.05,1041,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,WR5 1JR,20110701,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,R1A,17.2,58415,191680,2978.8,0.17,0.9,1,0.13,0.24,0.89,-168993,0.69,357,32.7,1.04,-13163.65,0.01,68,0,0.05,1041,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,WR5 1JR,20110701,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,R1A,17.2,58415,191680,2978.8,0.17,0.9,1,0.13,0.24,0.89,-168993,0.69,357,32.7,1.04,-13163.65,0.01,68,0,0.05,1041,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,WR5 1JR,20110701,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,R1C,22.2,43455,145315,2824.1,0.12,0.9,NA,0.06,0.24,0.18,-189949,0.97,451,3.7,1.09,-4204.8,0,70,0,0.04,401,SOLENT NHS TRUST,SO16 4XE,20110401,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,R1C,22.2,43455,145315,2824.1,0.12,0.9,NA,0.06,0.24,0.18,-189949,0.97,451,3.7,1.09,-4204.8,0,70,0,0.04,401,SOLENT NHS TRUST,SO16 4XE,20110401,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,R1C,22.2,43455,145315,2824.1,0.12,0.9,NA,0.06,0.24,0.18,-189949,0.97,451,3.7,1.09,-4204.8,0,70,0,0.04,401,SOLENT NHS TRUST,SO16 4XE,20110401,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,R1C,22.2,43455,145315,2824.1,0.12,0.9,NA,0.06,0.24,0.18,-189949,0.97,451,3.7,1.09,-4204.8,0,70,0,0.04,401,SOLENT NHS TRUST,SO16 4XE,20110401,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,R1C,22.2,43455,145315,2824.1,0.12,0.9,NA,0.06,0.24,0.18,-189949,0.97,451,3.7,1.09,-4204.8,0,70,0,0.04,401,SOLENT NHS TRUST,SO19 8BR,20110401,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,R1C,22.2,43455,145315,2824.1,0.12,0.9,NA,0.06,0.24,0.18,-189949,0.97,451,3.7,1.09,-4204.8,0,70,0,0.04,401,SOLENT NHS TRUST,SO19 8BR,20110401,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,R1C,22.2,43455,145315,2824.1,0.12,0.9,NA,0.06,0.24,0.18,-189949,0.97,451,3.7,1.09,-4204.8,0,70,0,0.04,401,SOLENT NHS TRUST,SO19 8BR,20110401,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,R1C,22.2,43455,145315,2824.1,0.12,0.9,NA,0.06,0.24,0.18,-189949,0.97,451,3.7,1.09,-4204.8,0,70,0,0.04,401,SOLENT NHS TRUST,SO19 8BR,20110401,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,R1C,22.2,43455,145315,2824.1,0.12,0.9,NA,0.06,0.24,0.18,-189949,0.97,451,3.7,1.09,-4204.8,0,70,0,0.04,401,SOLENT NHS TRUST,SO19 8BR,20110401,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
